Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-54mp,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,sentence,label,TriggerWord,Label
32,1594143563710,07/07/2020 17:39:23,1594143563641,-4,07/07/2020 13:39:23,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,204,2,2,ReadingPres,Zone1,reading,433.97899999999936,null,,projects.,11,0,1,0,,,false,8,8,Trial,The|technicians|meets|with|their|clients|to|discuss|the|repair|projects.,C.SVA.U.25,3,
33,1594143563898,07/07/2020 17:39:23,1594143563645,-4,07/07/2020 13:39:23,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,204,2,2,ReadingPres,Zone1,reading,5839.879999999999,null,,Content End,,0,1,0,,,true,8,8,Trial,The|technicians|meets|with|their|clients|to|discuss|the|repair|projects.,C.SVA.U.25,3,
34,1594143564445,07/07/2020 17:39:24,1594143564378,-4,07/07/2020 13:39:24,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,204,2,3,BlankScreen,Zone1,fixation,750.8280000000013,null,,null,,0,1,0,,,false,8,8,Trial,The|technicians|meets|with|their|clients|to|discuss|the|repair|projects.,C.SVA.U.25,3,
35,1594143565102,07/07/2020 17:39:25,1594143565030,-4,07/07/2020 13:39:25,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,204,2,4,JudgmentResponse,Zone5,response_keyboard_single,624.454999982845,null,,4,1,0,1,0,,,false,8,8,Trial,The|technicians|meets|with|their|clients|to|discuss|the|repair|projects.,C.SVA.U.25,3,
36,1594143565477,07/07/2020 17:39:25,1594143565396,-4,07/07/2020 13:39:25,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,212,3,1,Fixation,fixation,fixation,367.15000000000146,null,,null,,0,1,0,,,false,8,8,Trial,The|athletic|girl|taught|herself|how|to|shoot|baskets.,F.GR.C.31,5,
37,1594143565825,07/07/2020 17:39:25,1594143565728,-4,07/07/2020 13:39:25,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,212,3,2,ReadingPres,Zone1,reading,317.002999999997,null,,The,1,0,1,0,,,false,8,8,Trial,The|athletic|girl|taught|herself|how|to|shoot|baskets.,F.GR.C.31,5,
38,1594143566153,07/07/2020 17:39:26,1594143566090,-4,07/07/2020 13:39:26,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,212,3,2,ReadingPres,Zone1,reading,367.0750000000007,null,,athletic,2,0,1,0,,,false,8,8,Trial,The|athletic|girl|taught|herself|how|to|shoot|baskets.,F.GR.C.31,5,
39,1594143566481,07/07/2020 17:39:26,1594143566401,-4,07/07/2020 13:39:26,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,212,3,2,ReadingPres,Zone1,reading,316.9390000000021,null,,girl,3,0,1,0,,,false,8,8,Trial,The|athletic|girl|taught|herself|how|to|shoot|baskets.,F.GR.C.31,5,
40,1594143566810,07/07/2020 17:39:26,1594143566731,-4,07/07/2020 13:39:26,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,212,3,2,ReadingPres,Zone1,reading,317.11299999999756,null,,taught,4,0,1,0,,,false,8,8,Trial,The|athletic|girl|taught|herself|how|to|shoot|baskets.,F.GR.C.31,5,
41,1594143567153,07/07/2020 17:39:27,1594143567086,-4,07/07/2020 13:39:27,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,212,3,2,ReadingPres,Zone1,reading,366.9860000000008,null,,herself,5,0,1,0,,,false,8,8,Trial,The|athletic|girl|taught|herself|how|to|shoot|baskets.,F.GR.C.31,5,
